ref,type,datasource,content,source,alt
9,text,,"Auszug Kommentar Fachamt: Gemäß Senatsbeschluss von 2006 erfolgt für die sozialraumorientierte Planungskoordination die Betrachtung der Versorgung
mit Grünflächen über statistisch vorgegebene Einheiten (Planungsräume, Bezirksregion/ Bezirk). Die daraus resultierende Nivellierung die Werte über große Flächen ermöglichen keine Aussage hinsichtlich der tatsächlichen Versorgung der einzelnen Blöcke einer Bezirksregion und hat nur eingeschränkte Aussagekraft. Um zu anderen Fachplanungen vergleichbare und kleinräumig realistische Ergebnisse der Versorgung mit wohnungs- und siedlungsnahen Grünflächen zu erhalten, muss die Betrachtung der Grünflächenversorgung nach den Standards des Landschaftsprogramm/Artenschutzprogramm 2016 Berlin erfolgen. Dazu sind blockbezogene Einzugsbereiche der Grünflächen, die auch die Erreichbarkeit der wohnungs- und siedlungsnahen Grünflächen und die Bezirksregion übergreifenden Beziehungen berücksichtigen, zu betrachten. ",,
9,titel,,Öffentliche Spielplätze,,
9,table,9_Tabelle_A5,"Flächen öffentlicher Spielplätze, ihre Relation zur Einwohnerzahl sowie die Veränderungen im Vergleich zu 2016 und 2012 in Planungsräumen, Bezirksregion, Bezirk und Berlin (Kernindikator A5)","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
,text,,"Durch die zur Verfügung stehenden Quadratmeter Spielfläche pro EW wird das Verhältnis anrechenbarer öffentlicher Nettospielfläche zur Einwohnerzahl ausgedrückt. Annahme ist, dass eine gute Ausstattung mit Kinderspielplätzen auf ein kinder-, d.h. auch familienfreundliches Quartier hinweist. Angerechnet auf die Versorgung mit öffentlichen Spielplatzflächen werden alle Spielplatzflächen, die vom Land Berlin unterhalten werden. Betrachtet werden immer die Nettospielflächen, das heißt direkt bespielbare Flächen ohne das Rahmengrün. 
Quelle: Kernindikatoren für integrierte Stadtteilentwicklung und Bezirksregionenprofile. Erläuterungen und Hinweise zur Verwendung der Kernindikatoren. Senatsverwaltung für Stadtentwicklung und Wohnen. 2019, S. 10.
Für eine Versorgung unter 0,5 m² pro Einwohner wird besondere Aufmerksamkeit empfohlen, eine Versorgung ab 1 m²
gilt als ausreichend. Quelle: Kernindikatoren für integrierte Stadtteilentwicklung und Bezirksregionenprofile. Erläuterungen
und Hinweise zur Verwendung der Kernindikatoren. Senatsverwaltung für Stadtentwicklung und Wohnen. 2019, S. 10.",,
9,titel,,Straftaten,,
9,table,9_Tabelle_A8,"Anzahl und Häufigkeit kiezbezogener Straftaten sowie die Veränderungen im Vergleich zu 2016 und 2012 in Planungsräumen, Bezirksregion, Bezirk und Berlin (Kernindikator A8)","Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
9,text,,"Die berechnete Häufigkeitszahl (HZ) je 100 EW ist ein zur vergleichenden Beobachtung aus absoluten Werten errechneter Kriminalitätsquotient, der die durch Kriminalität verursachte Gefährdung ausdrückt. Insgesamt ergibt sich für ca. 90-95% aller in der PKS registrierten Straftaten die Möglichkeit der Zuordnung zu den Bezirksregionen und Planungsräumen. Hinweis: In der amtlichen Kriminalitätsstatistik erfolgt die Ausweisung der kiezbezogenen Straftaten je 100.000 EW. 
Quelle: Kernindikatoren für integrierte Stadtteilentwicklung und Bezirksregionenprofile. Erläuterungen und Hinweise zur Verwendung der Kernindikatoren. Senatsverwaltung für Stadtentwicklung und Wohnen. 2019, S. 14.",,
9,map-pr,9_Map_Pr_A8,Häufigkeit kiezbezogener Straftaten (je 100 Einwohner) in den Planungsräumen 2017,"Daten: Amt für Statistik Berlin, Stand 31.12.2017.",
10,text,,Zu dem Kapitel liegen keine Kernindikatoren vor. Aus den BZRP Teil I können gebündelte Informationen zu de Unterkapiteln Öffentlicher Nahverkehr und Radwege sowie Verkehrssicherheit für die BZR nachgelesen werden. ,,
11,text,,Zu dem Kapitel liegen keine Kernindikatoren vor. Aus den BZRP Teil I können jedoch Informationen zur Lärmbelastung sowie zur Natur- und Umweltbildung für die BZR entnommen werden. ,,
12,text,,"Zu dem Kapitel liegen keine Kernindikatoren vor. Aus den BZRP Teil I können gebündelte Informationen zum Thema Förderprogramme, die die BZR betreffen, entnommen werden.",,
13,text,,Zu dem Kapitel liegen keine Kernindikatoren vor. Aus den BZRP Teil I können weiterführende Vorhaben entnommen werden. ,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
13,,,,,
